id,name,handle,location,contact_phone,contact_email,wallet,amount_inr,date,source_channel,snippet
11,Sameer Khan,@sameer_khan_65,"Ranchi, Jharkhand",+918714509477,sameer.khan810@secure-mail.org,0xe6225f56047d363f2e44d3426285e0e4810bc4aa,120000,2025-05-02T01:31:36,Global Trade Intercepts,"Consignment transit record #11. Operative Contact: Sameer Khan (@sameer_khan_65), Phone: +918714509477, Email: sameer.khan810@secure-mail.org, Location Corridor: Ranchi, Jharkhand. Escrow settlement wallet: 0xe6225f56047d363f2e44d3426285e0e4810bc4aa. Valuation: INR 120,000."
12,Vikram Kapoor,@vikram_kapoor_82,"Thane, Maharashtra",+919016530379,vikram.kapoor243@secure-mail.org,0x3449771f5afcc6a2059f7f5845202e50b588b375,500000,2026-02-03T19:38:04,Metro Corridor Relay,"Consignment transit record #12. Operative Contact: Vikram Kapoor (@vikram_kapoor_82), Phone: +919016530379, Email: vikram.kapoor243@secure-mail.org, Location Corridor: Thane, Maharashtra. Escrow settlement wallet: 0x3449771f5afcc6a2059f7f5845202e50b588b375. Valuation: INR 500,000."
13,Rohan Yadav,@rohan_yadav_35,"Vadodara, Gujarat",+919946820960,rohan.yadav678@secure-mail.org,0x2fd891e9230d049b753c033ccfc93be9821c659e,50000,2025-02-17T15:09:52,Metro Corridor Relay,"Consignment transit record #13. Operative Contact: Rohan Yadav (@rohan_yadav_35), Phone: +919946820960, Email: rohan.yadav678@secure-mail.org, Location Corridor: Vadodara, Gujarat. Escrow settlement wallet: 0x2fd891e9230d049b753c033ccfc93be9821c659e. Valuation: INR 50,000."
14,Vikram Joshi,@vikram_joshi_86,"Nagpur, Maharashtra",+916055810539,vikram.joshi189@secure-mail.org,0xdd88a1c6757f6ac11be12c0f96f75148090a698a,850000,2025-12-29T14:01:23,Encrypted Comm Desk,"Consignment transit record #14. Operative Contact: Vikram Joshi (@vikram_joshi_86), Phone: +916055810539, Email: vikram.joshi189@secure-mail.org, Location Corridor: Nagpur, Maharashtra. Escrow settlement wallet: 0xdd88a1c6757f6ac11be12c0f96f75148090a698a. Valuation: INR 850,000."
15,Rahul Sharma,@rahul_sharma_62,"Mumbai, Maharashtra",+919513153639,rahul.sharma947@secure-mail.org,0x0726538cab4f2801d1ff382f971301d9ee2ec229,500000,2025-01-09T13:45:42,CyberShield Advisory,"Consignment transit record #15. Operative Contact: Rahul Sharma (@rahul_sharma_62), Phone: +919513153639, Email: rahul.sharma947@secure-mail.org, Location Corridor: Mumbai, Maharashtra. Escrow settlement wallet: 0x0726538cab4f2801d1ff382f971301d9ee2ec229. Valuation: INR 500,000."
16,Rahul Deshmukh,@rahul_deshmukh_18,"Dhanbad, Jharkhand",+918098709170,rahul.deshmukh475@secure-mail.org,0xdd517ef5a3bf7bc5a3824d435c176391bb36c9ee,25000,2026-02-09T19:08:06,Supply Chain Monitor,"Consignment transit record #16. Operative Contact: Rahul Deshmukh (@rahul_deshmukh_18), Phone: +918098709170, Email: rahul.deshmukh475@secure-mail.org, Location Corridor: Dhanbad, Jharkhand. Escrow settlement wallet: 0xdd517ef5a3bf7bc5a3824d435c176391bb36c9ee. Valuation: INR 25,000."
17,Manish Chopra,@manish_chopra_44,"Visakhapatnam, Andhra Pradesh",+919384103229,manish.chopra654@secure-mail.org,0x84728bd3c2bac33b7a2861d7a7f6556004bec20f,500000,2025-04-24T00:37:54,Crypto Exchange Node,"Consignment transit record #17. Operative Contact: Manish Chopra (@manish_chopra_44), Phone: +919384103229, Email: manish.chopra654@secure-mail.org, Location Corridor: Visakhapatnam, Andhra Pradesh. Escrow settlement wallet: 0x84728bd3c2bac33b7a2861d7a7f6556004bec20f. Valuation: INR 500,000."
18,Ananya Chopra,@ananya_chopra_53,"Guwahati, Assam",+916508266617,ananya.chopra935@secure-mail.org,0x233fb743840a9dcc42db1af593c811d48941c44f,250000,2025-09-01T07:21:24,Supply Chain Monitor,"Consignment transit record #18. Operative Contact: Ananya Chopra (@ananya_chopra_53), Phone: +916508266617, Email: ananya.chopra935@secure-mail.org, Location Corridor: Guwahati, Assam. Escrow settlement wallet: 0x233fb743840a9dcc42db1af593c811d48941c44f. Valuation: INR 250,000."
19,Priya Gupta,@priya_gupta_10,"Vijayawada, Andhra Pradesh",+918672459687,priya.gupta108@secure-mail.org,0x8976e2fd33754186063ec65283afa4ce3c1dd2b1,1500000,2025-06-25T18:02:41,Northern Route Dispatch,"Consignment transit record #19. Operative Contact: Priya Gupta (@priya_gupta_10), Phone: +918672459687, Email: priya.gupta108@secure-mail.org, Location Corridor: Vijayawada, Andhra Pradesh. Escrow settlement wallet: 0x8976e2fd33754186063ec65283afa4ce3c1dd2b1. Valuation: INR 1,500,000."
20,Kavita Chopra,@kavita_chopra_72,"Allahabad, Uttar Pradesh",+918553370165,kavita.chopra20@secure-mail.org,0xc96a13e09c0b32ff94f6a16090a2c28f8b0c6654,75000,2026-02-09T16:54:44,Encrypted Comm Desk,"Consignment transit record #20. Operative Contact: Kavita Chopra (@kavita_chopra_72), Phone: +918553370165, Email: kavita.chopra20@secure-mail.org, Location Corridor: Allahabad, Uttar Pradesh. Escrow settlement wallet: 0xc96a13e09c0b32ff94f6a16090a2c28f8b0c6654. Valuation: INR 75,000."
21,Kabir Khan,@kabir_khan_52,"Hyderabad, Telangana",+917334422634,kabir.khan18@secure-mail.org,0x60f696a7a7defaf95eda832fa9c7f7fcb3b2b890,250000,2025-02-26T14:52:28,Metro Corridor Relay,"Consignment transit record #21. Operative Contact: Kabir Khan (@kabir_khan_52), Phone: +917334422634, Email: kabir.khan18@secure-mail.org, Location Corridor: Hyderabad, Telangana. Escrow settlement wallet: 0x60f696a7a7defaf95eda832fa9c7f7fcb3b2b890. Valuation: INR 250,000."
22,Aditya Verma,@aditya_verma_72,"Lucknow, Uttar Pradesh",+918433453690,aditya.verma808@secure-mail.org,0x7bf8f08475ad06f3d076d961593ac96c5b9b2da3,500000,2025-01-04T23:19:05,Darknet Market Relay,"Consignment transit record #22. Operative Contact: Aditya Verma (@aditya_verma_72), Phone: +918433453690, Email: aditya.verma808@secure-mail.org, Location Corridor: Lucknow, Uttar Pradesh. Escrow settlement wallet: 0x7bf8f08475ad06f3d076d961593ac96c5b9b2da3. Valuation: INR 500,000."
23,Vikram Reddy,@vikram_reddy_32,"Chandigarh, Punjab/Haryana",+916204652807,vikram.reddy426@secure-mail.org,0xb9ab77017c186d1e487ca52cb4fd1b06e4e519c0,75000,2025-10-29T07:06:54,Darknet Market Relay,"Consignment transit record #23. Operative Contact: Vikram Reddy (@vikram_reddy_32), Phone: +916204652807, Email: vikram.reddy426@secure-mail.org, Location Corridor: Chandigarh, Punjab/Haryana. Escrow settlement wallet: 0xb9ab77017c186d1e487ca52cb4fd1b06e4e519c0. Valuation: INR 75,000."
24,Sunita Singh,@sunita_singh_86,"Surat, Gujarat",+919200589302,sunita.singh829@secure-mail.org,0xbcfd977be08edaaeee28dd107e19e702102c1405,75000,2025-05-02T13:48:41,Northern Route Dispatch,"Consignment transit record #24. Operative Contact: Sunita Singh (@sunita_singh_86), Phone: +919200589302, Email: sunita.singh829@secure-mail.org, Location Corridor: Surat, Gujarat. Escrow settlement wallet: 0xbcfd977be08edaaeee28dd107e19e702102c1405. Valuation: INR 75,000."
25,Riya Bhatia,@riya_bhatia_94,"Howrah, West Bengal",+918664391384,riya.bhatia436@secure-mail.org,0xc819e9c6334003a9055dcdb0d6a9bb41f5ae07ac,25000,2025-11-08T16:09:28,CyberShield Advisory,"Consignment transit record #25. Operative Contact: Riya Bhatia (@riya_bhatia_94), Phone: +918664391384, Email: riya.bhatia436@secure-mail.org, Location Corridor: Howrah, West Bengal. Escrow settlement wallet: 0xc819e9c6334003a9055dcdb0d6a9bb41f5ae07ac. Valuation: INR 25,000."
26,Imran Mehta,@imran_mehta_83,"Rajkot, Gujarat",+916872263158,imran.mehta887@secure-mail.org,0x35cf4cb0e9b06a3312e9d8d2f37c7ea8e3876765,500000,2025-01-04T05:11:57,Northern Route Dispatch,"Consignment transit record #26. Operative Contact: Imran Mehta (@imran_mehta_83), Phone: +916872263158, Email: imran.mehta887@secure-mail.org, Location Corridor: Rajkot, Gujarat. Escrow settlement wallet: 0x35cf4cb0e9b06a3312e9d8d2f37c7ea8e3876765. Valuation: INR 500,000."
27,Manish Singh,@manish_singh_12,"Vijayawada, Andhra Pradesh",+917656376632,manish.singh901@secure-mail.org,0x22a7b9d6a716888e3f210d15cbc9095d4ab584c8,75000,2025-10-23T05:42:47,Crypto Exchange Node,"Consignment transit record #27. Operative Contact: Manish Singh (@manish_singh_12), Phone: +917656376632, Email: manish.singh901@secure-mail.org, Location Corridor: Vijayawada, Andhra Pradesh. Escrow settlement wallet: 0x22a7b9d6a716888e3f210d15cbc9095d4ab584c8. Valuation: INR 75,000."
28,Neha Sharma,@neha_sharma_77,"Ghaziabad, Uttar Pradesh",+917995127509,neha.sharma30@secure-mail.org,0x78ca66138eefe6c9ec0d0dce0a5c493d6a3a3568,120000,2025-10-19T13:51:56,Supply Chain Monitor,"Consignment transit record #28. Operative Contact: Neha Sharma (@neha_sharma_77), Phone: +917995127509, Email: neha.sharma30@secure-mail.org, Location Corridor: Ghaziabad, Uttar Pradesh. Escrow settlement wallet: 0x78ca66138eefe6c9ec0d0dce0a5c493d6a3a3568. Valuation: INR 120,000."
29,Rohan Rao,@rohan_rao_86,"Chandigarh, Punjab/Haryana",+917583234896,rohan.rao843@secure-mail.org,0x4669e59f51eaa3dc36e3d45675eb86417ef43573,75000,2025-12-05T11:49:04,CyberShield Advisory,"Consignment transit record #29. Operative Contact: Rohan Rao (@rohan_rao_86), Phone: +917583234896, Email: rohan.rao843@secure-mail.org, Location Corridor: Chandigarh, Punjab/Haryana. Escrow settlement wallet: 0x4669e59f51eaa3dc36e3d45675eb86417ef43573. Valuation: INR 75,000."
30,Sneha Malhotra,@sneha_malhotra_83,"Jodhpur, Rajasthan",+918613654373,sneha.malhotra452@secure-mail.org,0xf3335381db8528be4af9316136e7b3b2d66c40c3,50000,2025-07-04T08:06:21,Global Trade Intercepts,"Consignment transit record #30. Operative Contact: Sneha Malhotra (@sneha_malhotra_83), Phone: +918613654373, Email: sneha.malhotra452@secure-mail.org, Location Corridor: Jodhpur, Rajasthan. Escrow settlement wallet: 0xf3335381db8528be4af9316136e7b3b2d66c40c3. Valuation: INR 50,000."
31,Kavita Kapoor,@kavita_kapoor_18,"Bareilly, Uttar Pradesh",+918280583385,kavita.kapoor411@secure-mail.org,0x52b57f9faf5d65539a872f8b4e1446be0a593a7d,50000,2025-03-07T03:37:44,Metro Corridor Relay,"Consignment transit record #31. Operative Contact: Kavita Kapoor (@kavita_kapoor_18), Phone: +918280583385, Email: kavita.kapoor411@secure-mail.org, Location Corridor: Bareilly, Uttar Pradesh. Escrow settlement wallet: 0x52b57f9faf5d65539a872f8b4e1446be0a593a7d. Valuation: INR 50,000."
32,Sunita Verma,@sunita_verma_14,"Ranchi, Jharkhand",+917383922096,sunita.verma317@secure-mail.org,0x8c78299db08590214ee23f5cbc8ce16ed3cb2b9c,850000,2025-05-03T16:33:48,Global Trade Intercepts,"Consignment transit record #32. Operative Contact: Sunita Verma (@sunita_verma_14), Phone: +917383922096, Email: sunita.verma317@secure-mail.org, Location Corridor: Ranchi, Jharkhand. Escrow settlement wallet: 0x8c78299db08590214ee23f5cbc8ce16ed3cb2b9c. Valuation: INR 850,000."
33,Neha Reddy,@neha_reddy_38,"Allahabad, Uttar Pradesh",+916568882170,neha.reddy512@secure-mail.org,0x123a145226bdfb3ca52718090d8da5d6f3d9b808,500000,2025-09-20T02:15:22,Freight & Escrow Hub,"Consignment transit record #33. Operative Contact: Neha Reddy (@neha_reddy_38), Phone: +916568882170, Email: neha.reddy512@secure-mail.org, Location Corridor: Allahabad, Uttar Pradesh. Escrow settlement wallet: 0x123a145226bdfb3ca52718090d8da5d6f3d9b808. Valuation: INR 500,000."
34,Manish Chawla,@manish_chawla_69,"Bengaluru, Karnataka",+919064754926,manish.chawla749@secure-mail.org,0xc9de65a638c5838abaab01b603df257898e13cad,500000,2025-01-02T10:36:39,Global Trade Intercepts,"Consignment transit record #34. Operative Contact: Manish Chawla (@manish_chawla_69), Phone: +919064754926, Email: manish.chawla749@secure-mail.org, Location Corridor: Bengaluru, Karnataka. Escrow settlement wallet: 0xc9de65a638c5838abaab01b603df257898e13cad. Valuation: INR 500,000."
35,Rohan Deshmukh,@rohan_deshmukh_39,"Amritsar, Punjab",+916699077679,rohan.deshmukh391@secure-mail.org,0x594024b4a3608feeb33e2cefa8cddd0ad844c82e,1500000,2026-02-04T04:57:29,Public Transit Logistics,"Consignment transit record #35. Operative Contact: Rohan Deshmukh (@rohan_deshmukh_39), Phone: +916699077679, Email: rohan.deshmukh391@secure-mail.org, Location Corridor: Amritsar, Punjab. Escrow settlement wallet: 0x594024b4a3608feeb33e2cefa8cddd0ad844c82e. Valuation: INR 1,500,000."
36,Aditya Patel,@aditya_patel_59,"Mysore, Karnataka",+917995671013,aditya.patel952@secure-mail.org,0xac858b98a874f35d0c0615b40990c00c44baf6f0,250000,2025-08-02T07:23:55,Crypto Exchange Node,"Consignment transit record #36. Operative Contact: Aditya Patel (@aditya_patel_59), Phone: +917995671013, Email: aditya.patel952@secure-mail.org, Location Corridor: Mysore, Karnataka. Escrow settlement wallet: 0xac858b98a874f35d0c0615b40990c00c44baf6f0. Valuation: INR 250,000."
37,Pooja Rao,@pooja_rao_54,"Meerut, Uttar Pradesh",+919290013106,pooja.rao23@secure-mail.org,0xd59a8ba9724a69ac0ae416b426de7167c6f10a96,50000,2025-02-11T09:06:39,Encrypted Comm Desk,"Consignment transit record #37. Operative Contact: Pooja Rao (@pooja_rao_54), Phone: +919290013106, Email: pooja.rao23@secure-mail.org, Location Corridor: Meerut, Uttar Pradesh. Escrow settlement wallet: 0xd59a8ba9724a69ac0ae416b426de7167c6f10a96. Valuation: INR 50,000."
38,Tanvi Bose,@tanvi_bose_58,"Kota, Rajasthan",+916263408659,tanvi.bose329@secure-mail.org,0xf2a21c2f90e89bb7b32e74858494a06d51a844ac,75000,2025-02-13T23:51:50,Darknet Market Relay,"Consignment transit record #38. Operative Contact: Tanvi Bose (@tanvi_bose_58), Phone: +916263408659, Email: tanvi.bose329@secure-mail.org, Location Corridor: Kota, Rajasthan. Escrow settlement wallet: 0xf2a21c2f90e89bb7b32e74858494a06d51a844ac. Valuation: INR 75,000."
39,Sameer Nair,@sameer_nair_58,"Meerut, Uttar Pradesh",+916827065077,sameer.nair6@secure-mail.org,0xdf7d07cc4b354eb1fef6b6cf15c8996137f6fb04,500000,2025-11-09T18:23:46,Crypto Exchange Node,"Consignment transit record #39. Operative Contact: Sameer Nair (@sameer_nair_58), Phone: +916827065077, Email: sameer.nair6@secure-mail.org, Location Corridor: Meerut, Uttar Pradesh. Escrow settlement wallet: 0xdf7d07cc4b354eb1fef6b6cf15c8996137f6fb04. Valuation: INR 500,000."
40,Karan Joshi,@karan_joshi_17,"Chennai, Tamil Nadu",+917744066764,karan.joshi319@secure-mail.org,0x46cef39d71e40f46a9c75ea84ccfe3111a07e9e4,500000,2025-11-05T02:04:02,Global Trade Intercepts,"Consignment transit record #40. Operative Contact: Karan Joshi (@karan_joshi_17), Phone: +917744066764, Email: karan.joshi319@secure-mail.org, Location Corridor: Chennai, Tamil Nadu. Escrow settlement wallet: 0x46cef39d71e40f46a9c75ea84ccfe3111a07e9e4. Valuation: INR 500,000."
41,Karan Saxena,@karan_saxena_67,"Ludhiana, Punjab",+919604206146,karan.saxena623@secure-mail.org,0xf455c1432b190f5fdad5f26969143747e6b583c4,50000,2025-09-19T00:15:01,Metro Corridor Relay,"Consignment transit record #41. Operative Contact: Karan Saxena (@karan_saxena_67), Phone: +919604206146, Email: karan.saxena623@secure-mail.org, Location Corridor: Ludhiana, Punjab. Escrow settlement wallet: 0xf455c1432b190f5fdad5f26969143747e6b583c4. Valuation: INR 50,000."
42,Aditya Malhotra,@aditya_malhotra_65,"Delhi, NCR",+916023586945,aditya.malhotra225@secure-mail.org,0x6dbd673c28abf35ec4c65ce687b41a0886e31e4b,500000,2025-11-29T22:27:18,Northern Route Dispatch,"Consignment transit record #42. Operative Contact: Aditya Malhotra (@aditya_malhotra_65), Phone: +916023586945, Email: aditya.malhotra225@secure-mail.org, Location Corridor: Delhi, NCR. Escrow settlement wallet: 0x6dbd673c28abf35ec4c65ce687b41a0886e31e4b. Valuation: INR 500,000."
43,Tanvi Singh,@tanvi_singh_94,"Allahabad, Uttar Pradesh",+916419721398,tanvi.singh262@secure-mail.org,0xb19a7f62f87a130982145883ed27373df38fc364,75000,2025-09-18T15:25:56,Darknet Market Relay,"Consignment transit record #43. Operative Contact: Tanvi Singh (@tanvi_singh_94), Phone: +916419721398, Email: tanvi.singh262@secure-mail.org, Location Corridor: Allahabad, Uttar Pradesh. Escrow settlement wallet: 0xb19a7f62f87a130982145883ed27373df38fc364. Valuation: INR 75,000."
44,Siddharth Patel,@siddharth_patel_39,"Guwahati, Assam",+917212619152,siddharth.patel116@secure-mail.org,0x83da0faf7f16a1e01936d5b09b0121f20a85cd4f,120000,2025-04-12T00:12:03,Encrypted Comm Desk,"Consignment transit record #44. Operative Contact: Siddharth Patel (@siddharth_patel_39), Phone: +917212619152, Email: siddharth.patel116@secure-mail.org, Location Corridor: Guwahati, Assam. Escrow settlement wallet: 0x83da0faf7f16a1e01936d5b09b0121f20a85cd4f. Valuation: INR 120,000."
45,Dev Reddy,@dev_reddy_15,"Nagpur, Maharashtra",+917164075694,dev.reddy57@secure-mail.org,0x90e827840f06dd173b60b77b1205f38c6f543310,850000,2026-01-30T21:57:48,Crypto Exchange Node,"Consignment transit record #45. Operative Contact: Dev Reddy (@dev_reddy_15), Phone: +917164075694, Email: dev.reddy57@secure-mail.org, Location Corridor: Nagpur, Maharashtra. Escrow settlement wallet: 0x90e827840f06dd173b60b77b1205f38c6f543310. Valuation: INR 850,000."
46,Neha Rao,@neha_rao_85,"Varanasi, Uttar Pradesh",+916519309756,neha.rao879@secure-mail.org,0xa44cc658f1e51ed7fd3cbe72694119fcff73c986,75000,2025-03-15T03:34:56,Public Transit Logistics,"Consignment transit record #46. Operative Contact: Neha Rao (@neha_rao_85), Phone: +916519309756, Email: neha.rao879@secure-mail.org, Location Corridor: Varanasi, Uttar Pradesh. Escrow settlement wallet: 0xa44cc658f1e51ed7fd3cbe72694119fcff73c986. Valuation: INR 75,000."
47,Aditya Bose,@aditya_bose_86,"Meerut, Uttar Pradesh",+919367411412,aditya.bose975@secure-mail.org,0x3d61374b6a1528bd0058132d10ecdc14d20dfdef,120000,2025-01-25T23:42:13,Northern Route Dispatch,"Consignment transit record #47. Operative Contact: Aditya Bose (@aditya_bose_86), Phone: +919367411412, Email: aditya.bose975@secure-mail.org, Location Corridor: Meerut, Uttar Pradesh. Escrow settlement wallet: 0x3d61374b6a1528bd0058132d10ecdc14d20dfdef. Valuation: INR 120,000."
48,Arjun Khan,@arjun_khan_55,"Srinagar, Jammu & Kashmir",+918724855106,arjun.khan893@secure-mail.org,0x7ba8674d75c66766850330fe45e51169de96c3f7,120000,2025-11-05T05:26:39,Encrypted Comm Desk,"Consignment transit record #48. Operative Contact: Arjun Khan (@arjun_khan_55), Phone: +918724855106, Email: arjun.khan893@secure-mail.org, Location Corridor: Srinagar, Jammu & Kashmir. Escrow settlement wallet: 0x7ba8674d75c66766850330fe45e51169de96c3f7. Valuation: INR 120,000."
49,Farhan Joshi,@farhan_joshi_47,"Mysore, Karnataka",+919436337648,farhan.joshi41@secure-mail.org,0xafd7af30e10efb377fd1e9e90be1a94810488a0f,75000,2025-01-09T15:10:29,Darknet Market Relay,"Consignment transit record #49. Operative Contact: Farhan Joshi (@farhan_joshi_47), Phone: +919436337648, Email: farhan.joshi41@secure-mail.org, Location Corridor: Mysore, Karnataka. Escrow settlement wallet: 0xafd7af30e10efb377fd1e9e90be1a94810488a0f. Valuation: INR 75,000."
50,Karan Saxena,@karan_saxena_84,"Allahabad, Uttar Pradesh",+919416420582,karan.saxena440@secure-mail.org,0xd229741321dd6cf440c32cbe968ee50550e5dc85,250000,2025-02-07T13:36:16,Darknet Market Relay,"Consignment transit record #50. Operative Contact: Karan Saxena (@karan_saxena_84), Phone: +919416420582, Email: karan.saxena440@secure-mail.org, Location Corridor: Allahabad, Uttar Pradesh. Escrow settlement wallet: 0xd229741321dd6cf440c32cbe968ee50550e5dc85. Valuation: INR 250,000."
51,Tanvi Saxena,@tanvi_saxena_90,"Ranchi, Jharkhand",+917967451740,tanvi.saxena648@secure-mail.org,0xdb49f104f9ce54adfd4040373478307159b54c3e,50000,2025-11-21T09:09:33,Freight & Escrow Hub,"Consignment transit record #51. Operative Contact: Tanvi Saxena (@tanvi_saxena_90), Phone: +917967451740, Email: tanvi.saxena648@secure-mail.org, Location Corridor: Ranchi, Jharkhand. Escrow settlement wallet: 0xdb49f104f9ce54adfd4040373478307159b54c3e. Valuation: INR 50,000."
52,Neha Bhatia,@neha_bhatia_35,"Srinagar, Jammu & Kashmir",+919972798075,neha.bhatia75@secure-mail.org,0xdde5528e58e4ae386099f1c20e2c5840b45d85e4,850000,2025-03-31T14:19:49,Global Trade Intercepts,"Consignment transit record #52. Operative Contact: Neha Bhatia (@neha_bhatia_35), Phone: +919972798075, Email: neha.bhatia75@secure-mail.org, Location Corridor: Srinagar, Jammu & Kashmir. Escrow settlement wallet: 0xdde5528e58e4ae386099f1c20e2c5840b45d85e4. Valuation: INR 850,000."
53,Arjun Sharma,@arjun_sharma_37,"Kota, Rajasthan",+916221995318,arjun.sharma568@secure-mail.org,0x2864af40ad78ba2b710fdc485de68552adbbb4cb,25000,2025-04-15T16:17:05,Darknet Market Relay,"Consignment transit record #53. Operative Contact: Arjun Sharma (@arjun_sharma_37), Phone: +916221995318, Email: arjun.sharma568@secure-mail.org, Location Corridor: Kota, Rajasthan. Escrow settlement wallet: 0x2864af40ad78ba2b710fdc485de68552adbbb4cb. Valuation: INR 25,000."
54,Manish Gupta,@manish_gupta_86,"Patna, Bihar",+919861139388,manish.gupta110@secure-mail.org,0xa70b3bf958624d09cce65363cbf8f2bbf33977bb,75000,2026-02-06T07:06:58,Public Transit Logistics,"Consignment transit record #54. Operative Contact: Manish Gupta (@manish_gupta_86), Phone: +919861139388, Email: manish.gupta110@secure-mail.org, Location Corridor: Patna, Bihar. Escrow settlement wallet: 0xa70b3bf958624d09cce65363cbf8f2bbf33977bb. Valuation: INR 75,000."
